호선,역번호,출발역,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,25시
2호선,243,충정로,20.4,33.65,63.45,63.45,56.75,43,45.45,42.2,45.9,43.75,42,42.4,53.9,52.15,39.35,25.85,29.85,37.25,33.65,19.05,3.7
2호선,243,충정로,9.9,15.25,30.95,30.95,25.45,25.9,27.7,32.9,36.9,36.3,41.95,51.75,61.35,93.95,82.85,54.7,60.9,60.45,42.1,21.4,8.8
2호선,244,용답,20.8,18.4,35.45,35.45,40.65,26.55,18.05,16.3,17.45,15.95,16,16.85,22,22.5,11.05,7.25,5.05,4,2.05,1.4,0.4
2호선,244,용답,2.2,5,8.35,8.35,11.55,9.5,9.35,9.4,11.45,11.85,14.25,20.55,29.1,53.4,37.9,26.55,21.8,21.3,12.25,5.95,2.2
2호선,245,신답,15.7,15.8,31.05,31.05,38.05,26.7,16.85,15.15,16.05,15.6,15.7,14.6,19.75,22,11.2,7.15,5.2,4.5,2.75,1.5,0.5
2호선,245,신답,2.7,5.3,9.2,9.2,12.35,9.95,9.75,9.3,11.35,11.55,12.8,18.35,26.25,42.3,36.25,22.55,19.25,17.75,10.75,4.65,1.8
2호선,246,신설동,10.8,11.95,22.55,22.55,27,19.25,12.85,12.2,13.75,13.35,13.5,12.65,17.25,18.55,9.75,6.95,5.35,4.5,3,1.85,0.5
2호선,246,신설동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2호선,247,도림천,5,11.25,22.65,22.65,15.2,11.95,10.8,12.05,14.9,17.4,20,28.6,40.05,73.7,88.15,46.5,33.4,31.6,28.1,12,4.5
2호선,247,도림천,29.1,43.3,89.65,89.65,50.25,33.8,23.8,20.95,20.1,17.05,16.15,18.5,21.85,34.1,26.75,15.5,11.5,9.55,7.5,2.4,0.4
2호선,248,양천구청,6.1,10.95,23.9,23.9,15.2,11.7,10.35,10.8,12.95,14.3,16,22.45,31.5,59.6,69.5,35.05,25.4,22.65,22.4,11.3,3
2호선,248,양천구청,28.9,42.8,88.6,88.6,49.75,33.4,23.25,20.45,19.25,16.55,15.2,17.35,21.2,33.65,26.55,15.5,11.3,9.65,7.6,2.5,0.3
2호선,249,신정네거리,7.9,12.25,24.4,24.4,15,10.8,9.35,9.45,10.65,10.35,11.2,14.7,20.35,37.5,42.6,20.95,15.5,12.9,12.9,6.5,1.5
2호선,249,신정네거리,22.3,32.4,68.05,68.05,34.1,23.35,17.4,17.35,15.35,13.35,13.95,16,21.6,33.45,23.5,13.2,11.25,8.8,6.75,1.5,0.3
2호선,250,용두,13.3,13.75,26.3,26.3,30.9,22.3,14.55,14.4,15.45,15.15,15.55,15.25,20.1,22.35,11.6,7.3,5.65,4.55,2.9,1.7,0.5
2호선,250,용두,3,4.85,8.5,8.5,10.6,8.65,8.55,7.95,9.7,10.05,10.45,16.35,22.8,37,30.95,19.15,16.6,15.3,9.7,3.7,1.3
2호선,260,까치산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
