역번호,역주변,호선,역명
211,성수IT종합센터,8호선,복정
211,성동여성인력개발센터,8호선,복정
211,경동초등학교,8호선,산성
211,성수공업고등학교,8호선,산성
211,성수2가3동주민센터,8호선,남한산성입구
211,성수지구대,8호선,남한산성입구
211,기업은행  성수동지점,8호선,단대오거리
211,뚝섬우체국 ,8호선,단대오거리
211,경수중학교,8호선,신흥
211,경수초등학교,8호선,신흥
211,성원중학교,8호선,수진
211,성수2가1동주민센터,8호선,수진
211,뚝도시장,8호선,모란
211,성동세무서,8호선,모란
211,성수초등학교,8호선,남위례
211,KDB산업은행 성동지점,8호선,남위례
211,성동지역경제혁신센터,,
211,한국전기안전공사 서울동부지사,,
212,자양3동 주민센터,,
212,자양4동 주민센터,,
212,영동대교,,
212,동자초등학교,,
212,자양중·고교,,
212,자양동방면,,
212,서울어린이대공원,,
212,화양동 주민센터,,
212,화양제일시장,,
212,건대로데오거리,,
212,서울특별시동부여성발전센터,,
212,조양시장,,
212,성수사거리,,
212,화양지구대,,
212,건국대학교,,
212,화양초등학교,,
212,IBK기업은행 건대역지점,,
212,한강시민공원(뚝섬유원지),,
212,신양초등학교,,
212,노룬산시장,,
213,한국보건의료인국가시험원(별관),,
213,건대부속중고교,,
213,잠실대교 방면,,
213,동서울 우편 집중국,,
213,자양1동,,
213,한국보건의료인국가시험원(본관),,
213,구의1동,,
213,동국대사범대학부속여중.고교,,
213,광진경찰서,,
213,광진구청,,
213,광진 우체국,,
214,구의3동사무소,,
214,구의3동파출소,,
214,현대아파트,,
214,현대아파트,,
214,동서울종합터미널,,
214,성동초등학교,,
214,동서울종합터미널,,
214,성동초등학교,,
214,광남중고교,,
214,구의3동,,
214,프라임아파트,,
214,광진중학교,,
214,한양아파트 ,,
214,서울구남초등학교,,
214,우성아파트,,
214,서울광진학교     ,,
215,잠실고등학교,,
215,잠동초등학교,,
215,잠실4동 주민센터,,
215,잠실우체국,,
215,잠실파크리오아파트,,
215,진주아파트,,
215,잠실6동 주민센터,,
215,잠동초등학교,,
215,잠실6동 주민센터,,
215,장미아파트,,
215,장미아파트,,
215,잠현초등학교,,
215,잠실파크리오아파트,,
215,송파구청,,
215,신천파출소,,
215,잠실초등학교,,
215,올림픽공원,,
215,미성아파트,,
215,잠실중학교,,
215,대한민국재향군인회,,
215,성내천,,
216,송파구청,,
216,국민건강보험공단 송파지사,,
216,잠실3동주민센터,,
216,롯데호텔,,
216,잠실대교방면,,
216,대한민국재향군인회,,
216,신천동방면,,
216,교통회관,,
216,서울놀이마당,,
216,"방이동, 올림픽공원 방면",,
216,롯데월드타워,,
216,송파대로,,
216,가락동.성남방면,,
216,"트리지움아파트, 레이크팰리스아파트",,
216,잠실주공 5단지,,
216,잠실5치안센터,,
216,잠실 6동,,
216,장미아파트,,
216,잠실중학교,,
216,국민연금공단 송파지사,,
216,석촌호수,,
217,영동일고등학교,,
217,잠신고등학교,,
217,새마을시장,,
217,새마을시장,,
217,잠실엘스아파트,,
217,잠실리센츠아파트,,
217,잠실2동주민센터,,
217,잠신중학교,,
217,버들초등학교,,
217,잠실한강시민공원,,
217,잠일초등학교,,
217,잠실 성당,,
217,잠일고등학교,,
217,잠실트리지움아파트,,
217,잠실리센츠아파트,,
217,잠실트리지움아파트,,
217,잠실본동주민센터,,
217,잠실엘스아파트,,
217,강동송파교육지원청,,
217,잠실한강시민공원,,
217,잠신초등학교,,
217,잠실리센츠아파트,,
217,잠실2동 우체국,,
218,  백제고분로,,
218, 신천중학교,,
218, 아시아공원,,
218,우성아파트,,
218, 강남경찰서,,
218,  탄천,,
218, 탄천,,
218, 강남소방서,,
218,  실내체육관,,
218, 실내수영장,,
218,잠실엘스아파트,,
218, 올림픽로,,
218, 테헤란로,,
218,서울의료원 강남분원,,
218,송파문화원,,
218,송파문화원,,
218,아주중학교,,
218,아시아공원   ,,
218,아시아선수촌아파트,,
218, 아주초등학교,,
218, 아주중학교,,
218,정신여중.고교,,
218, 아시아공원,,
218, 강남운전면허시험장,,
218,야구장,,
218, 주경기장,,
218,  야구장 ,,
218,  실내수영장,,
218,주경기장,,
218, 실내체육관,,
218,학생체육관,,
218, 실내수영장,,
218, 잠실7동 주민센터,,
